"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C6,C8,C16,C17,C18","6","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2,C3,C4,C5,C10,C20","6","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C7,C9,C11,C12,C15","5","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C13","1","47nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C14","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C19,C21","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D4,D5,D6,D7,D8,D11,D15","7","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D9","1","TSD05DYFR","","","","Diode_SMD:D_SOD-323_HandSoldering","https://assets.nexperia.com/documents/data-sheet/PTVS5V0Z1USK.pdf"
"D12,D13,D14","3","LTST-C235KGKRKT","","","","LED_SMD:LED_LiteOn_LTST-C235KGKRKT","https://optoelectronics.liteon.com/upload/download/DS22-2009-0219/LTST-C235KGKRKT.pdf"
"F1","1","Fuse","","","","Fuse:Fuse_0805_2012Metric","~"
"FB1","1","BBUP00321611121Y00","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"IC1","1","PCA9955BTW","","","","SOP65P640X110-29N","https://www.nxp.com/docs/en/data-sheet/PCA9955B.pdf"
"J1","1","Micro_SD_Card_Det2","","","","alarm_system:CUI_MSD-11-A","https://www.hirose.com/en/product/document?clcode=&productname=&series=DM3&documenttype=Catalog&lang=en&documentid=D49662_en"
"J2","1","USB_C_Receptacle_USB2.0_14P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","Conn_01x04_Socket","","","","","~"
"J4,J5,J6","3","Conn_01x02_Socket","","","","","~"
"L1","1","1uH","","","","","~"
"L2","1","0.47uH","","","","","~"
"R1,R2,R3,R18,R19,R24,R26,R30,R34","9","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4,R5,R6","3","8.25k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R7,R8,R9,R10","4","330","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R11","1","47k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R20","1","2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R21,R23","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R22,R35,R39","3","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R25","1","909k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R27,R28,R49,R50","4","200k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R29,R32","2","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
